step , loss 
10636 , 19.60
10637 , 32.46
10638 , 32.37
10639 , 24.75
10640 , 11.79
10641 , 19.98
10642 , 13.78
10643 , 13.64
10644 , 25.15
10645 , 29.93
10646 , 22.34
10647 , 31.64
10648 , 14.38
10649 , 21.14
10650 , 21.02
10651 , 35.38
10652 , 22.20
10653 , 34.42
10654 , 30.38
10655 , 25.00
10656 , 22.69
11521 , 19.53
11522 , 19.28
11523 , 22.54
11524 , 30.39
11525 , 14.37
11526 , 17.68
11527 , 38.59
11528 , 23.77
11529 , 31.91
11530 , 28.94
11531 , 22.25
11532 , 80.13
11533 , 22.84
11534 , 24.73
11535 , 41.91
11536 , 34.05
11537 , 37.65
11538 , 14.89
11539 , 47.22
11540 , 20.43
11541 , 59.63
11542 , 25.54
11543 , 22.55
11544 , 15.28
11545 , 38.59
11546 , 21.01
11547 , 15.63
11548 , 23.93
11549 , 20.24
11550 , 16.17
11551 , 17.15
11552 , 17.93
11553 , 25.83
11554 , 9.32
11555 , 9.50
11556 , 38.06
11557 , 29.16
11558 , 35.11
11559 , 11.02
11560 , 25.91
11561 , 37.39
11562 , 55.86
11563 , 28.34
11564 , 35.34
11565 , 20.14
11566 , 36.53
11567 , 51.20
11568 , 40.49
11569 , 10.84
11570 , 17.34
11571 , 30.05
11572 , 27.80
11573 , 34.23
11574 , 37.50
11575 , 31.55
11576 , 43.68
11577 , 15.56
11578 , 54.51
11579 , 15.58
11580 , 24.30
11581 , 54.09
11582 , 23.96
11583 , 22.10
11584 , 24.84
11585 , 23.41
11586 , 12.36
11587 , 15.85
11588 , 22.61
11589 , 24.77
11590 , 23.18
11591 , 15.13
11592 , 52.19
11593 , 23.49
11594 , 16.42
11595 , 35.72
11596 , 22.77
11597 , 28.68
11598 , 27.55
11599 , 25.92
11600 , 12.14
11601 , 17.60
11602 , 13.31
11603 , 14.00
11604 , 27.88
11605 , 28.68
11606 , 22.51
11607 , 32.70
11608 , 15.12
11609 , 19.59
11610 , 21.78
11611 , 31.78
11612 , 25.67
11613 , 38.94
11614 , 39.64
11615 , 23.16
11616 , 19.03
12481 , 23.82
12482 , 17.29
12483 , 23.50
12484 , 33.69
12485 , 12.77
12486 , 16.05
12487 , 38.37
12488 , 28.74
12489 , 31.36
12490 , 23.31
12491 , 22.76
12492 , 82.27
12493 , 25.23
12494 , 22.14
12495 , 42.56
12496 , 33.69
12497 , 32.37
12498 , 18.48
12499 , 35.83
12500 , 14.63
12501 , 60.77
12502 , 28.36
12503 , 25.50
12504 , 15.00
12505 , 43.48
12506 , 21.72
12507 , 16.11
12508 , 22.86
12509 , 23.30
12510 , 14.51
12511 , 18.56
12512 , 11.95
12513 , 24.75
12514 , 9.50
12515 , 11.76
12516 , 33.01
12517 , 29.76
12518 , 24.15
12519 , 11.91
12520 , 23.14
12521 , 39.98
12522 , 47.94
12523 , 29.52
12524 , 38.50
12525 , 18.59
12526 , 35.26
12527 , 47.47
12528 , 37.41
12529 , 12.03
12530 , 20.44
12531 , 32.73
12532 , 28.83
12533 , 35.22
12534 , 44.75
12535 , 25.95
12536 , 40.44
12537 , 14.28
12538 , 55.63
12539 , 15.90
12540 , 25.84
12541 , 53.42
12542 , 24.10
12543 , 26.47
12544 , 23.29
12545 , 25.13
12546 , 11.74
12547 , 15.11
12548 , 20.31
12549 , 24.43
12550 , 17.48
12551 , 17.25
12552 , 52.85
12553 , 24.99
12554 , 15.90
12555 , 33.55
12556 , 22.80
12557 , 30.56
12558 , 26.60
12559 , 22.30
12560 , 11.28
12561 , 16.16
12562 , 14.12
12563 , 15.94
12564 , 24.48
12565 , 27.05
12566 , 22.33
12567 , 41.91
12568 , 19.27
12569 , 21.36
12570 , 18.44
12571 , 34.04
12572 , 22.06
12573 , 41.82
12574 , 30.77
12575 , 22.22
12576 , 18.22
13441 , 23.71
13442 , 16.54
13443 , 26.91
13444 , 34.21
13445 , 13.66
13446 , 15.90
13447 , 37.92
13448 , 22.46
13449 , 29.84
13450 , 21.78
13451 , 23.50
13452 , 88.31
13453 , 24.31
13454 , 24.06
13455 , 51.76
13456 , 34.68
13457 , 41.41
13458 , 15.20
13459 , 43.52
13460 , 22.45
13461 , 61.14
13462 , 26.73
13463 , 26.07
13464 , 15.92
13465 , 35.72
13466 , 18.90
13467 , 18.50
13468 , 29.04
13469 , 14.59
13470 , 14.22
13471 , 15.50
13472 , 12.89
13473 , 27.13
13474 , 11.76
13475 , 13.00
13476 , 34.61
13477 , 31.49
13478 , 25.00
13479 , 12.62
13480 , 21.33
13481 , 34.08
13482 , 47.12
13483 , 29.50
13484 , 39.22
13485 , 20.99
13486 , 36.16
13487 , 41.89
13488 , 42.12
13489 , 10.98
13490 , 20.48
13491 , 27.62
13492 , 25.53
13493 , 30.57
13494 , 45.54
13495 , 33.89
13496 , 42.58
13497 , 17.03
13498 , 55.57
13499 , 14.98
13500 , 26.71
13501 , 51.05
13502 , 22.47
13503 , 26.77
13504 , 22.33
13505 , 23.36
13506 , 14.64
13507 , 19.73
13508 , 22.96
13509 , 27.65
13510 , 20.62
13511 , 14.61
13512 , 49.79
13513 , 23.85
13514 , 16.66
13515 , 32.39
13516 , 22.83
13517 , 26.47
13518 , 28.66
13519 , 22.56
13520 , 14.33
13521 , 17.77
13522 , 16.11
13523 , 14.63
13524 , 30.06
13525 , 25.21
13526 , 21.17
13527 , 42.16
13528 , 15.05
13529 , 20.42
13530 , 23.75
13531 , 33.11
13532 , 24.71
13533 , 37.19
13534 , 34.64
13535 , 23.83
13536 , 20.70
14401 , 22.25
14402 , 16.36
14403 , 22.16
14404 , 31.09
14405 , 11.54
14406 , 17.57
14407 , 42.75
14408 , 21.68
14409 , 33.32
14410 , 20.66
14411 , 20.63
14412 , 81.01
14413 , 24.83
14414 , 22.05
14415 , 46.13
14416 , 36.60
14417 , 27.28
14418 , 15.51
14419 , 43.13
14420 , 26.24
14421 , 60.51
14422 , 28.11
14423 , 24.76
14424 , 16.83
14425 , 41.53
14426 , 20.06
14427 , 16.76
14428 , 22.88
14429 , 19.45
14430 , 13.20
14431 , 14.70
14432 , 12.99
14433 , 23.42
14434 , 11.61
14435 , 11.99
14436 , 41.28
14437 , 26.08
14438 , 22.49
14439 , 11.27
14440 , 20.48
14441 , 39.17
14442 , 55.47
14443 , 27.65
14444 , 38.05
14445 , 20.93
14446 , 36.04
14447 , 41.90
14448 , 37.21
14449 , 11.70
14450 , 21.34
14451 , 30.13
14452 , 33.12
14453 , 33.63
14454 , 42.85
14455 , 29.96
14456 , 39.00
14457 , 16.39
14458 , 52.29
14459 , 16.83
14460 , 27.61
14461 , 45.71
14462 , 24.07
14463 , 22.35
14464 , 24.41
14465 , 23.06
14466 , 12.53
14467 , 15.35
14468 , 24.26
14469 , 22.71
14470 , 22.69
14471 , 13.16
14472 , 53.47
14473 , 24.86
14474 , 14.51
14475 , 32.01
14476 , 19.89
14477 , 30.53
14478 , 30.41
14479 , 25.20
14480 , 14.55
14481 , 16.53
14482 , 14.95
14483 , 15.69
14484 , 25.59
14485 , 23.18
14486 , 21.43
14487 , 32.25
14488 , 18.55
14489 , 20.39
14490 , 23.43
14491 , 35.36
14492 , 25.53
14493 , 38.77
14494 , 30.29
14495 , 20.02
14496 , 19.04
15361 , 21.95
15362 , 17.48
15363 , 25.13
15364 , 23.41
15365 , 13.53
15366 , 17.41
15367 , 41.05
15368 , 26.53
15369 , 32.22
15370 , 22.38
15371 , 21.55
15372 , 73.48
15373 , 22.28
15374 , 23.50
15375 , 50.87
15376 , 31.44
15377 , 37.88
15378 , 16.68
15379 , 41.51
15380 , 22.78
15381 , 58.90
15382 , 27.14
15383 , 24.93
15384 , 16.03
15385 , 40.49
15386 , 24.73
15387 , 16.41
15388 , 27.94
15389 , 17.45
15390 , 13.37
15391 , 16.35
